dataset,representation,model,da_method,seed
mitbih,raw,inception-time,source-only,0
mitbih,raw,inception-time,source-only,1
mitbih,raw,inception-time,source-only,2
mitbih,raw,inception-time,source-only,3
mitbih,raw,inception-time,source-only,4
mitbih,raw,inception-time,deep-coral,0
mitbih,raw,inception-time,deep-coral,1
mitbih,raw,inception-time,deep-coral,2
mitbih,raw,inception-time,deep-coral,3
mitbih,raw,inception-time,deep-coral,4
mitbih,raw,inception-time,codats,0
mitbih,raw,inception-time,codats,1
mitbih,raw,inception-time,codats,2
mitbih,raw,inception-time,codats,3
mitbih,raw,inception-time,codats,4
mitbih,raw,inception-time,mk-mmd,0
mitbih,raw,inception-time,mk-mmd,1
mitbih,raw,inception-time,mk-mmd,2
mitbih,raw,inception-time,mk-mmd,3
mitbih,raw,inception-time,mk-mmd,4
mitbih,raw,patch-tst,source-only,0
mitbih,raw,patch-tst,source-only,1
mitbih,raw,patch-tst,source-only,2
mitbih,raw,patch-tst,source-only,3
mitbih,raw,patch-tst,source-only,4
mitbih,raw,patch-tst,deep-coral,0
mitbih,raw,patch-tst,deep-coral,1
mitbih,raw,patch-tst,deep-coral,2
mitbih,raw,patch-tst,deep-coral,3
mitbih,raw,patch-tst,deep-coral,4
mitbih,raw,patch-tst,codats,0
mitbih,raw,patch-tst,codats,1
mitbih,raw,patch-tst,codats,2
mitbih,raw,patch-tst,codats,3
mitbih,raw,patch-tst,codats,4
mitbih,raw,patch-tst,mk-mmd,0
mitbih,raw,patch-tst,mk-mmd,1
mitbih,raw,patch-tst,mk-mmd,2
mitbih,raw,patch-tst,mk-mmd,3
mitbih,raw,patch-tst,mk-mmd,4
mitbih,log-stft,resnet2d,source-only,0
mitbih,log-stft,resnet2d,source-only,1
mitbih,log-stft,resnet2d,source-only,2
mitbih,log-stft,resnet2d,source-only,3
mitbih,log-stft,resnet2d,source-only,4
mitbih,log-stft,resnet2d,deep-coral,0
mitbih,log-stft,resnet2d,deep-coral,1
mitbih,log-stft,resnet2d,deep-coral,2
mitbih,log-stft,resnet2d,deep-coral,3
mitbih,log-stft,resnet2d,deep-coral,4
mitbih,log-stft,resnet2d,codats,0
mitbih,log-stft,resnet2d,codats,1
mitbih,log-stft,resnet2d,codats,2
mitbih,log-stft,resnet2d,codats,3
mitbih,log-stft,resnet2d,codats,4
mitbih,log-stft,resnet2d,mk-mmd,0
mitbih,log-stft,resnet2d,mk-mmd,1
mitbih,log-stft,resnet2d,mk-mmd,2
mitbih,log-stft,resnet2d,mk-mmd,3
mitbih,log-stft,resnet2d,mk-mmd,4
mitbih,cwt-morlet,resnet2d,source-only,0
mitbih,cwt-morlet,resnet2d,source-only,1
mitbih,cwt-morlet,resnet2d,source-only,2
mitbih,cwt-morlet,resnet2d,source-only,3
mitbih,cwt-morlet,resnet2d,source-only,4
mitbih,cwt-morlet,resnet2d,deep-coral,0
mitbih,cwt-morlet,resnet2d,deep-coral,1
mitbih,cwt-morlet,resnet2d,deep-coral,2
mitbih,cwt-morlet,resnet2d,deep-coral,3
mitbih,cwt-morlet,resnet2d,deep-coral,4
mitbih,cwt-morlet,resnet2d,codats,0
mitbih,cwt-morlet,resnet2d,codats,1
mitbih,cwt-morlet,resnet2d,codats,2
mitbih,cwt-morlet,resnet2d,codats,3
mitbih,cwt-morlet,resnet2d,codats,4
mitbih,cwt-morlet,resnet2d,mk-mmd,0
mitbih,cwt-morlet,resnet2d,mk-mmd,1
mitbih,cwt-morlet,resnet2d,mk-mmd,2
mitbih,cwt-morlet,resnet2d,mk-mmd,3
mitbih,cwt-morlet,resnet2d,mk-mmd,4
sleep-edf,raw,inception-time,source-only,0
sleep-edf,raw,inception-time,source-only,1
sleep-edf,raw,inception-time,source-only,2
sleep-edf,raw,inception-time,source-only,3
sleep-edf,raw,inception-time,source-only,4
sleep-edf,raw,inception-time,deep-coral,0
sleep-edf,raw,inception-time,deep-coral,1
sleep-edf,raw,inception-time,deep-coral,2
sleep-edf,raw,inception-time,deep-coral,3
sleep-edf,raw,inception-time,deep-coral,4
sleep-edf,raw,inception-time,codats,0
sleep-edf,raw,inception-time,codats,1
sleep-edf,raw,inception-time,codats,2
sleep-edf,raw,inception-time,codats,3
sleep-edf,raw,inception-time,codats,4
sleep-edf,raw,inception-time,mk-mmd,0
sleep-edf,raw,inception-time,mk-mmd,1
sleep-edf,raw,inception-time,mk-mmd,2
sleep-edf,raw,inception-time,mk-mmd,3
sleep-edf,raw,inception-time,mk-mmd,4
sleep-edf,raw,patch-tst,source-only,0
sleep-edf,raw,patch-tst,source-only,1
sleep-edf,raw,patch-tst,source-only,2
sleep-edf,raw,patch-tst,source-only,3
sleep-edf,raw,patch-tst,source-only,4
sleep-edf,raw,patch-tst,deep-coral,0
sleep-edf,raw,patch-tst,deep-coral,1
sleep-edf,raw,patch-tst,deep-coral,2
sleep-edf,raw,patch-tst,deep-coral,3
sleep-edf,raw,patch-tst,deep-coral,4
sleep-edf,raw,patch-tst,codats,0
sleep-edf,raw,patch-tst,codats,1
sleep-edf,raw,patch-tst,codats,2
sleep-edf,raw,patch-tst,codats,3
sleep-edf,raw,patch-tst,codats,4
sleep-edf,raw,patch-tst,mk-mmd,0
sleep-edf,raw,patch-tst,mk-mmd,1
sleep-edf,raw,patch-tst,mk-mmd,2
sleep-edf,raw,patch-tst,mk-mmd,3
sleep-edf,raw,patch-tst,mk-mmd,4
sleep-edf,log-stft,resnet2d,source-only,0
sleep-edf,log-stft,resnet2d,source-only,1
sleep-edf,log-stft,resnet2d,source-only,2
sleep-edf,log-stft,resnet2d,source-only,3
sleep-edf,log-stft,resnet2d,source-only,4
sleep-edf,log-stft,resnet2d,deep-coral,0
sleep-edf,log-stft,resnet2d,deep-coral,1
sleep-edf,log-stft,resnet2d,deep-coral,2
sleep-edf,log-stft,resnet2d,deep-coral,3
